;SERCODIGOTROLL;FNTID;TEMID;PERID;SERNOME_P;SERDESCRICAO_P;BANCO;GRANDE_TEMA;Extração de dados;Link da fonte;Link no comentário (se houver)
146;FUNCEX_XPTEXT2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos têxteis - preços - índice (média 2006 = 100);Exportações - setor: produtos têxteis - preços - índice (média 2006 = 100);FUNCEX;Macro;;;
147;FUNCEX_XPVEIC2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: veículos automotores, reboques, carrocerias - preços - índice(média 2006 = 100);Exportações - setor: veículos automotores, reboques, carrocerias - preços - índice (média 2006 = 100);FUNCEX;Macro;;;
148;FUNCEX_XPVEST2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: artigos de vestuário e acessórios - preços - índice (média 2006 = 100);Exportações - setor: confecção de artigos do  vestuário e acessórios - preços - índice (média 2006 = 100);FUNCEX;Macro;;;
149;FUNCEX_XPDIV2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: indústrias diversas - preços - índice (média 2006 = 100);Exportações - setor: indústrias diversas - preços - índice (média 2006 = 100);FUNCEX;Macro;;;
150;FUNCEX_XPPRF2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produção florestal - preços - índice (média 2006 = 100);Exportações - setor: produção florestal - preços - índice (média 2006 = 100);FUNCEX;Macro;;;
151;FUNCEX_XPPES2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: pesca e aqüicultura - preços - índice (média 2006 = 100);Exportações - setor: pesca e aqüicultura - preços - índice (média 2006 = 100);FUNCEX;Macro;;;
152;FUNCEX_XPFUMO2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos do fumo - preços - índice (média 2006 = 100);Exportações - setor: produtos do fumo - preços - índice (média 2006 = 100);FUNCEX;Macro;;;
153;FUNCEX_XPIXPG2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: impressão e reprodução de gravações - preços - índice (média 2006 = 100);Exportações - setor: impressão e reprodução de gravações - preços - índice (média 2006 = 100);FUNCEX;Macro;;;
154;FUNCEX_XPFARM2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos farmoquímicos farmacêuticos - preços - índice (média 2006 = 100);Exportações - setor: produtos farmoquímicos farmacêuticos - preços - índice (média 2006 = 100);FUNCEX;Macro;;;
155;FUNCEX_XQAGP2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: agricultura e pecuária - quantum - índice (média 2006 = 100);Exportações - setor: agricultura e pecuária - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
156;FUNCEX_XQAL2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos alimentícios - quantum - índice (média 2006 = 100);Exportações - setor: produtos alimentícios - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
157;FUNCEX_XQBEB2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: bebidas - quantum - índice (média 2006 = 100);Exportações - setor: bebidas - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
158;FUNCEX_XQCAL2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: couros, artefatos de couro e calçados - quantum - índice (média 2006 = 100);Exportações - setor: couros, artefatos de couro, artigos para viagem e calçados - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
159;FUNCEX_XQEMM2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: extração de minerais metálicos - quantum - índice (média 2006 = 100);Exportações - setor: extração de minerais metálicos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
160;FUNCEX_XQEMNM2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: extração de minerais não-metálicos - quantum - índice (média 2006 = 100);Exportações - setor: extração de minerais não-metálicos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
161;FUNCEX_XQEPET2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: extração de petróleo e gás natural - quantum - índice (média 2006 = 100);Exportações - setor: extração de petróleo e gás natural - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
162;FUNCEX_XQMAD2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos de madeira - quantum - índice (média 2006 = 100);Exportações - setor: produtos de madeira - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
163;FUNCEX_XQMAQELET2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: máquinas, aparelhos e materiais elétricos - quantum - índice (média 2006 = 100);Exportações - setor: máquinas, aparelhos e materiais elétricos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
