;SERCODIGOTROLL;FNTID;TEMID;PERID;SERNOME_P;SERDESCRICAO_P;BANCO;GRANDE_TEMA;Extração de dados;Link da fonte;Link no comentário (se houver)
233;FUNCEX_MVTEXT2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos têxteis - (FOB);Importações - setor: produtos têxteis - (FOB);FUNCEX;Macro;;;
234;FUNCEX_MVVEIC2N;Funcex;Comércio exterior;ANUAL;Importações - setor: veículos automotores, reboques,carrocerias - (FOB);Importações - setor: veículos automotores, reboques, carrocerias - (FOB);FUNCEX;Macro;;;
235;FUNCEX_MVVEST2N;Funcex;Comércio exterior;ANUAL;Importações - setor: artigos de vestuário e acessórios - (FOB);Importações - setor: confecção de artigos do  vestuário e acessórios - (FOB);FUNCEX;Macro;;;
236;FUNCEX_MVDIV2N;Funcex;Comércio exterior;ANUAL;Importações - setor: indústrias diversas - (FOB);Importações - setor: indústrias diversas - (FOB);FUNCEX;Macro;;;
237;FUNCEX_MVPRF2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produção florestal - (FOB);Importações - setor: produção florestal - (FOB);FUNCEX;Macro;;;
238;FUNCEX_MVPES2N;Funcex;Comércio exterior;ANUAL;Importações - setor: pesca e aqüicultura - (FOB);Importações - setor: pesca e aqüicultura - (FOB);FUNCEX;Macro;;;
239;FUNCEX_MVFUMO2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos do fumo - (FOB);Importações - setor: produtos do fumo - (FOB);FUNCEX;Macro;;;
240;FUNCEX_MVIMVG2N;Funcex;Comércio exterior;ANUAL;Importações - setor: impressão e reprodução de gravações - (FOB);Importações - setor: impressão e reprodução de gravações - (FOB);FUNCEX;Macro;;;
241;FUNCEX_MVFARM2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos farmoquímicos farmacêuticos - (FOB);Importações - setor: produtos farmoquímicos farmacêuticos - (FOB);FUNCEX;Macro;;;
242;FUNCEX_MVECARV2N;Funcex;Comércio exterior;ANUAL;Importações - setor: extração de carvão mineral - (FOB);Importações - setor: extração de carvão mineral - (FOB);FUNCEX;Macro;;;
243;FUNCEX_XVAGP2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: agricultura e pecuária - (FOB);Exportações - setor: agricultura e pecuária - (FOB);FUNCEX;Macro;;;
244;FUNCEX_XVAL2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos alimentícios - (FOB);Exportações - setor: produtos alimentícios - (FOB);FUNCEX;Macro;;;
245;FUNCEX_XVBEB2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: bebidas - (FOB);Exportações - setor: bebidas - (FOB);FUNCEX;Macro;;;
246;FUNCEX_XVCAL2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: couros, artefatos de couro e calçados - (FOB);Exportações - setor: couros, artefatos de couro, artigos para viagem e calçados - (FOB);FUNCEX;Macro;;;
247;FUNCEX_XVEMM2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: extração de minerais metálicos - (FOB);Exportações - setor: extração de minerais metálicos - (FOB);FUNCEX;Macro;;;
248;FUNCEX_XVEMNM2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: extração de minerais não-metálicos - (FOB);Exportações - setor: extração de minerais não-metálicos - (FOB);FUNCEX;Macro;;;
249;FUNCEX_XVEPET2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: extração de petróleo e gás natural - (FOB);Exportações - setor: extração de petróleo e gás natural - (FOB);FUNCEX;Macro;;;
250;FUNCEX_XVMAD2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos de madeira - (FOB);Exportações - setor: produtos de madeira - (FOB);FUNCEX;Macro;;;
251;FUNCEX_XVMAQELET2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: máquinas, aparelhos e materiais elétricos - (FOB);Exportações - setor: máquinas, aparelhos e materiais elétricos - (FOB);FUNCEX;Macro;;;
252;FUNCEX_XVMAQEQU2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: máquinas e equipamentos - (FOB);Exportações - setor: máquinas e equipamentos - (FOB);FUNCEX;Macro;;;
253;FUNCEX_XVMAQINF2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: eq. de informática, eletrônicos e ópticos - (FOB);Exportações - setor: equipamentos de informática, produtos eletrônicos e ópticos - (FOB);FUNCEX;Macro;;;
254;FUNCEX_XVMETBAS2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: metalurgia - (FOB);Exportações - setor: metalurgia - (FOB);FUNCEX;Macro;;;
255;FUNCEX_XVMET2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos de metal - (FOB);Exportações - setor: produtos de metal, exceto  máquinas e equipamentos - (FOB);FUNCEX;Macro;;;
256;FUNCEX_XVMNM2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos de minerais não-metálicos - (FOB);Exportações - setor: produtos de minerais não-metálicos - (FOB);FUNCEX;Macro;;;
257;FUNCEX_XVMOV2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: móveis - (FOB);Exportações - setor: móveis - (FOB);FUNCEX;Macro;;;
258;FUNCEX_XVOUTTRANS2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: outros equipamentos de transporte - (FOB);Exportações - setor: outros equipamentos de transporte, exceto veículos automotores - (FOB);FUNCEX;Macro;;;
259;FUNCEX_XVPAP2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: celulose, papel e produtos de papel - (FOB);Exportações - setor: celulose, papel e produtos de papel - (FOB);FUNCEX;Macro;;;
260;FUNCEX_XVPETCOMB2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: derivados do petróleo - (FOB);Exportações - setor: derivados do petróleo biocombustíveis e coque - (FOB);FUNCEX;Macro;;;
261;FUNCEX_XVPLAS2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos de borracha e material plástico - (FOB);Exportações - setor: produtos de borracha e de material plástico - (FOB);FUNCEX;Macro;;;
262;FUNCEX_XVQUIM2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos químicos - (FOB);Exportações - setor: produtos químicos - (FOB);FUNCEX;Macro;;;
263;FUNCEX_XVTEXT2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos têxteis - (FOB);Exportações - setor: produtos têxteis - (FOB);FUNCEX;Macro;;;
264;FUNCEX_XVVEIC2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: veículos automotores, reboques,carrocerias - (FOB);Exportações - setor: veículos automotores, reboques, carrocerias - (FOB);FUNCEX;Macro;;;
265;FUNCEX_XVVEST2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: artigos de vestuário e acessórios - (FOB);Exportações - setor: confecção de artigos do  vestuário e acessórios - (FOB);FUNCEX;Macro;;;
266;FUNCEX_XVDIV2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: indústrias diversas - (FOB);Exportações - setor: indústrias diversas - (FOB);FUNCEX;Macro;;;
267;FUNCEX_XVPRF2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produção florestal - (FOB);Exportações - setor: produção florestal - (FOB);FUNCEX;Macro;;;
268;FUNCEX_XVPES2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: pesca e aqüicultura - (FOB);Exportações - setor: pesca e aqüicultura - (FOB);FUNCEX;Macro;;;
269;FUNCEX_XVFUMO2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos do fumo - (FOB);Exportações - setor: produtos do fumo - (FOB);FUNCEX;Macro;;;
270;FUNCEX_XVIXVG2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: impressão e reprodução de gravações - (FOB);Exportações - setor: impressão e reprodução de gravações - (FOB);FUNCEX;Macro;;;
271;FUNCEX_XVFARM2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos farmoquímicos farmacêuticos - (FOB);Exportações - setor: produtos farmoquímicos farmacêuticos - (FOB);FUNCEX;Macro;;;
272;FUNCEX_XVECARV2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: extração de carvão mineral - (FOB);Exportações - setor: extração de carvão mineral - (FOB);FUNCEX;Macro;;;
429;FUNCEX_TTR;Funcex;Comércio exterior;ANUAL;Termos de troca - índice (média 2006 = 100);Índice de termos de troca (média 2006 = 100);FUNCEX;Macro;;;
1;GAC12_TCERXTS212;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - produção florestal (média 2010 = 100);Taxa de câmbio - efetiva real - setor: produção florestal (média 2010 = 100);GAC12;Macro;;;
2;GAC12_TCERXTS312;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - pesca e aqüicultura (média 2010 = 100);Taxa de câmbio - efetiva real - setor: pesca e aqüicultura (média 2010 = 100);GAC12;Macro;;;
3;GAC12_TCERXTS1812;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - impressão e reprodução de gravações (média 2010 = 100);Taxa de câmbio - efetiva real - setor: impressão e reprodução de gravações (média 2010 = 100);GAC12;Macro;;;
4;GAC12_CAIEX12;IPEA;Contas nacionais;MENSAL;Consumo aparente - indústria extrativa - índice encadeado (média 2012 = 100);Consumo aparente - indústria extrativa - índice encadeado (média 2012 = 100);GAC12;Macro;;;
5;GAC12_CAIEXDESSAZ12;IPEA;Contas nacionais;MENSAL;Consumo aparente - indústria extrativa - índice encadeado - dessaz (média 2002= 100);Consumo aparente - indústria extrativa - índice encadeado - dessaz (média 2002= 100);GAC12;Macro;;;
6;GAC12_INDFBCF12;IPEA;Contas nacionais;MENSAL;Indicador IPEA de FBCF - índice encadeado (média1995 = 100);Indicador IPEA de FBCF - índice encadeado (média1995 = 100);GAC12;Macro;;;
7;GAC12_INDFBCFCC12;IPEA;Contas nacionais;MENSAL;Indicador IPEA de FBCF - construção civil - índice encadeado (média1995 = 100);Indicador IPEA de FBCF - construção civil - índice encadeado (média1995 = 100);GAC12;Macro;;;
8;GAC12_INDFBCFDESSAZ12;IPEA;Contas nacionais;MENSAL;Indicador IPEA de FBCF - índice encadeado - dessaz (média 1995 = 100);Indicador IPEA de FBCF - índice encadeado - dessaz (média 1995 = 100);GAC12;Macro;;;
9;GAC12_INDFBCFCCDESSAZ12;IPEA;Contas nacionais;MENSAL;Indicador IPEA de FBCF - construção civil - índice encadeado - dessaz (média 1995= 100);Indicador IPEA de FBCF - construção civil - índice encadeado - dessaz (média 1995= 100);GAC12;Macro;;;
67;GAC12_TCERXM12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - IPA-OG-IT - exportações - manufaturados - índice (média 2010 = 100);Taxa de câmbio - efetiva real - IPA-OG-IT - exportações - manufaturados - índice (média 2010 = 100);GAC12;Macro;;;
68;GAC12_TCERXT12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - IPA-EP-DI - exportações - índice (média 2010 = 100);Taxa de câmbio - efetiva real - IPA-EP-DI - exportações - índice (média 2010 = 100);GAC12;Macro;;;
69;GAC12_SALMINRE12;IPEA;Salário e renda;MENSAL;Salário mínimo real;Salário mínimo real;GAC12;Macro;;;
71;GAC12_TCERXMINPC12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - INPC - exportações - manufaturados - índice (média 2010 = 100);Taxa de câmbio - efetiva real - INPC - exportações - manufaturados - índice (média 2010 = 100);GAC12;Macro;;;
79;GAC12_FBKFCAMI12;IPEA;Contas nacionais;MENSAL;Consumo aparente - bens de capital - índice encadeado (média 2012 = 100);Consumo aparente - bens de capital - índice encadeado (média 2012 = 100);GAC12;Macro;;;
92;GAC12_TCERXTINPC12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - INPC - exportações - índice (média 2010 = 100);Taxa de câmbio - efetiva real - INPC - exportações - índice (média 2010 = 100);GAC12;Macro;;;
95;GAC12_SALMINDOL12;IPEA;Salário e renda;MENSAL;Salário mínimo - paridade do poder de compra (PPC);Salário mínimo - paridade do poder de compra (PPC);GAC12;Macro;;;
96;GAC12_PPCTAXAC12;IPEA;Câmbio;MENSAL;Taxa de paridade do poder de compra (PPC) - consumo das famílias;Taxa de paridade do poder de compra (PPC) para o consumo das famílias;GAC12;Macro;;;
273;GAC12_CABI12;IPEA;Contas nacionais;MENSAL;Consumo aparente - bens intermediários - índice encadeado (média 2012 = 100);Consumo aparente - bens intermediários - índice encadeado (média 2012 = 100);GAC12;Macro;;;
274;GAC12_CABC12;IPEA;Contas nacionais;MENSAL;Consumo aparente - bens de consumo - índice encadeado (média 2012 = 100);Consumo aparente - bens de consumo - índice encadeado (média 2012 = 100);GAC12;Macro;;;
275;GAC12_CABCD12;IPEA;Contas nacionais;MENSAL;Consumo aparente - bens de consumo duráveis - índice encadeado (média 2012 = 100);Consumo aparente - bens de consumo duráveis - índice encadeado (média 2012 = 100);GAC12;Macro;;;
276;GAC12_CABCND12;IPEA;Contas nacionais;MENSAL;Consumo aparente - bens de consumo semi e não duráveis - índice encadeado (média 2012 = 100);Consumo aparente - bens de consumo semi e não duráveis - índice encadeado (média 2012 = 100);GAC12;Macro;;;
277;GAC12_FBKFCAMIDESSAZ12;IPEA;Contas nacionais;MENSAL;Consumo aparente - bens de capital - índice encadeado - dessaz (média 2012 = 100);Consumo aparente - bens de capital - índice encadeado - dessaz (média 2012 = 100);GAC12;Macro;;;
278;GAC12_CABIDESSAZ12;IPEA;Contas nacionais;MENSAL;Consumo aparente - bens intermediários - índice encadeado - dessaz (média 2012 = 100);Consumo aparente - bens intermediários - índice encadeado - dessaz (média 2012 = 100);GAC12;Macro;;;
279;GAC12_CABCDESSAZ12;IPEA;Contas nacionais;MENSAL;Consumo aparente - bens de consumo - índice encadeado - dessaz (média 2012 = 100);Consumo aparente - bens de consumo - índice encadeado - dessaz (média 2012 = 100);GAC12;Macro;;;
280;GAC12_CABCDDESSAZ12;IPEA;Contas nacionais;MENSAL;Consumo aparente - bens de consumo duráveis - índice encadeado - dessaz(média 2012 = 100);Consumo aparente - bens de consumo duráveis - índice encadeado - dessaz(média 2012 = 100);GAC12;Macro;;;
281;GAC12_CABCNDDESSAZ12;IPEA;Contas nacionais;MENSAL;Consumo aparente - bens de consumo semi e não duráveis - índice encadeado - dessaz (média 2002= 100);Consumo aparente - bens de consumo semi e não duráveis - índice encadeado - dessaz (média 2002= 100);GAC12;Macro;;;
282;GAC12_CAIG12;IPEA;Contas nacionais;MENSAL;Consumo aparente - indústria geral - índice encadeado (média 2012 = 100);Consumo aparente - indústria geral - índice encadeado (média 2012 = 100);GAC12;Macro;;;
283;GAC12_CAIT12;IPEA;Contas nacionais;MENSAL;Consumo aparente - indústria de transformação - índice encadeado (média 2012 = 100);Consumo aparente - indústria de transformação - índice encadeado (média 2012 = 100);GAC12;Macro;;;
284;GAC12_CAIGDESSAZ12;IPEA;Contas nacionais;MENSAL;Consumo aparente - indústria geral - índice encadeado - dessaz (média 2012 = 100);Consumo aparente - indústria geral - índice encadeado - dessaz (média 2012 = 100);GAC12;Macro;;;
285;GAC12_CAITDESSAZ12;IPEA;Contas nacionais;MENSAL;Consumo aparente - indústria de transformação - índice encadeado - dessaz (média 2002= 100);Consumo aparente - indústria de transformação - índice encadeado - dessaz (média 2002= 100);GAC12;Macro;;;
367;GAC12_TCERMT12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - IPA-EP-DI - importações - índice (média 2010 = 100);Taxa de câmbio - efetiva real - IPA-EP-DI - importações - índice (média 2010 = 100);GAC12;Macro;;;
368;GAC12_TCERMTINPC12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - INPC - importações - índice (média 2010 = 100);Taxa de câmbio - efetiva real - INPC - importações - índice (média 2010 = 100);GAC12;Macro;;;
369;GAC12_TCERMBK12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - IPA-EP-DI - importações - bens de capital - índice(média 2010 = 100);Taxa de câmbio - efetiva real - IPA-EP-DI - importações - bens de capital - índice (média 2010 = 100);GAC12;Macro;;;
370;GAC12_TCERMBI12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - IPA-EP-DI - importações - bens interm. - índice(média 2010=100);Taxa de câmbio - efetiva real - IPA-EP-DI - importações - bens intermediários - índice (média 2010 = 100);GAC12;Macro;;;
371;GAC12_TCERMBCD12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - IPA-EP-DI - importações - bens duráveis - índice (média 2010 = 100);Taxa de câmbio - efetiva real - IPA-EP-DI - importações - bens de consumo duráveis - índice (média 2010 = 100);GAC12;Macro;;;
372;GAC12_TCERMBCND12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - IPA-EP-DI - importações - bens não duráveis - índice(média 2010=100);Taxa de câmbio - efetiva real - IPA-EP-DI - importações - bens de consumo não duráveis - índice (média 2010 = 100);GAC12;Macro;;;
373;GAC12_TCERMCOMB12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - IPA-EP-DI - importações - combustíveis - índice (média 2010 = 100);Taxa de câmbio - efetiva real - IPA-EP-DI - importações - combustíveis - índice (média 2010 = 100);GAC12;Macro;;;
376;GAC12_TCERXSM12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - IPA-OG-IT - exportações - semimanufaturados - índice(média 2010=100);Taxa de câmbio - efetiva real - IPA-IT - exportações - semimanufaturados - índice (média 2010 = 100);GAC12;Macro;;;
377;GAC12_TCERXB12;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - IPA Ponderado - exportações - básicos - índice (média 2010 = 100);Taxa de câmbio - efetiva real - IPA-IT - exportações - básicos - índice (média 2010 = 100);GAC12;Macro;;;
378;GAC12_TCERCAN12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Canadá - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Canadá - índice (média 2010 = 100);GAC12;Macro;;;
379;GAC12_TCERHKG12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Hong Kong - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Hong Kong - índice (média 2010 = 100);GAC12;Macro;;;
380;GAC12_TCERCOL12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Colômbia - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Colômbia - índice (média 2010 = 100);GAC12;Macro;;;
381;GAC12_TCEREGY12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Egito - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Egito - índice (média 2010 = 100);GAC12;Macro;;;
382;GAC12_TCERIDN12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Indonésia - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Indonésia - índice (média 2010 = 100);GAC12;Macro;;;
383;GAC12_TCERPER12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Peru - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Peru - índice (média 2010 = 100);GAC12;Macro;;;
384;GAC12_TCERURY12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Uruguai - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Uruguai - índice (média 2010 = 100);GAC12;Macro;;;
385;GAC12_TCERCHN12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/China  - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/China  - índice (média 2010 = 100);GAC12;Macro;;;
386;GAC12_TCERNLD12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Holanda - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Holanda - índice (média 2010 = 100);GAC12;Macro;;;
387;GAC12_TCERDEU12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Alemanha - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Alemanha - índice (média 2010 = 100);GAC12;Macro;;;
388;GAC12_TCERJPN12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Japão - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Japão - índice (média 2010 = 100);GAC12;Macro;;;
389;GAC12_TCERGBR12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Reino Unido - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Reino Unido - índice (média 2010 = 100);GAC12;Macro;;;
390;GAC12_TCERCHL12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Chile  - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Chile  - índice (média 2010 = 100);GAC12;Macro;;;
391;GAC12_TCERITA12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Itália - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Itália - índice (média 2010 = 100);GAC12;Macro;;;
392;GAC12_TCERBEL12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Bélgica - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Bélgica - índice (média 2010 = 100);GAC12;Macro;;;
393;GAC12_TCERFRA12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/França - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/França - índice (média 2010 = 100);GAC12;Macro;;;
394;GAC12_TCERIND12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Índia - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Índia - índice (média 2010 = 100);GAC12;Macro;;;
395;GAC12_TCERKOR12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Coreia do Sul - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Coreia do Sul - índice (média 2010 = 100);GAC12;Macro;;;
396;GAC12_TCERMEX12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/México - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/México - índice (média 2010 = 100);GAC12;Macro;;;
397;GAC12_TCERPRY12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Paraguai - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Paraguai - índice (média 2010 = 100);GAC12;Macro;;;
398;GAC12_TCERSAU12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Arábia Saudita - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Arábia Saudita - índice (média 2010 = 100);GAC12;Macro;;;
399;GAC12_TCERESP12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Espanha - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Espanha - índice (média 2010 = 100);GAC12;Macro;;;
400;GAC12_TCEREUA12;IPEA;Câmbio;MENSAL;Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Estados Unidos - índice (média 2010 = 100);Taxa de câmbio real bilateral - IPA-EP-DI - Brasil/Estados Unidos - índice (média 2010 = 100);GAC12;Macro;;;
401;GAC12_TCERXTS112;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - agricultura, pecuária e serviços relacionados (média 2010 = 100);Taxa de câmbio - efetiva real - setor: agricultura, pecuária e serviços relacionados (média 2010 = 100);GAC12;Macro;;;
402;GAC12_TCERXTS612;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - extração de petróleo e gás natural  (média 2010 = 100);Taxa de câmbio - efetiva real - setor: extração de petróleo e gás natural  (média 2010 = 100);GAC12;Macro;;;
403;GAC12_TCERXTS712;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - extração de minerais metálicos (média 2010 = 100);Taxa de câmbio - efetiva real - setor: extração de minerais metálicos (média 2010 = 100);GAC12;Macro;;;
404;GAC12_TCERXTS812;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - extração de minerais não-metálicos (média 2010 = 100);Taxa de câmbio - efetiva real - setor: extração de minerais não-metálicos (média 2010 = 100);GAC12;Macro;;;
405;GAC12_TCERXTS1012;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de produtos alimentícios (média 2010 = 100);Taxa de câmbio - efetiva real - setor: fabricação de produtos alimentícios (média 2010 = 100);GAC12;Macro;;;
406;GAC12_TCERXTS1112;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de bebidas (média 2010 = 100);Taxa de câmbio - efetiva real - setor: fabricação de bebidas (média 2010 = 100);GAC12;Macro;;;
407;GAC12_TCERXTS1212;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de produtos do fumo (média 2010 = 100);Taxa de câmbio - efetiva real - setor: fabricação de produtos do fumo (média 2010 = 100);GAC12;Macro;;;
408;GAC12_TCERXTS1312;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de produtos têxteis (média 2010 = 100);Taxa de câmbio - efetiva real - setor: fabricação de produtos têxteis (média 2010 = 100);GAC12;Macro;;;
409;GAC12_TCERXTS1412;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - confecção de artigos do vestuário e acessórios (média 2010 = 100);Taxa de câmbio - efetiva real - setor: confecção de artigos do vestuário e acessórios (média 2010 = 100);GAC12;Macro;;;
410;GAC12_TCERXTS1512;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - preparação e fabricaçao de artigos de couro e calçados(média2010=100;Taxa de câmbio - efetiva real - setor: preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados (média 2010 = 100);GAC12;Macro;;;
411;GAC12_TCERXTS1612;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de produtos de madeira (média 2010 = 100);Taxa de câmbio - efetiva real - setor: fabricação de produtos de madeira (média 2010 = 100);GAC12;Macro;;;
412;GAC12_TCERXTS1712;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de celulose, papel e produtos de papel (média 2010= 100);Taxa de câmbio - efetiva real - setor: fabricação de celulose, papel e produtos de papel (média 2010 = 100);GAC12;Macro;;;
413;GAC12_TCERXTS1912;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de coque,deriv.do petróleo e biocombustível(média2010=100;Taxa de câmbio - efetiva real - setor: fabricação de coque, de produtos derivados do petróleo e de biocombustíveis (média 2010 = 100);GAC12;Macro;;;
414;GAC12_TCERXTS2012;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de produtos químicos (média 2010 = 100);Taxa de câmbio - efetiva real - setor: fabricação de produtos químicos  (média 2010 = 100);GAC12;Macro;;;
415;GAC12_TCERXTS2112;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de prod. de farmoquímicos e farmacêuticos(média 2010=100);Taxa de câmbio - efetiva real - setor: fabricação de produtos de farmoquímicos e farmacêuticos  (média 2010 = 100);GAC12;Macro;;;
